Arabic	English
أنا أتصل بالعياده.	i'm calling the clinic.
أنا أتعجب لماذا تأخر؟!	i do wonder - why is he late?
أنا أتعلم التركمانيه.	i'm learning turkmen.
انا اتعلم العربي	i am learning arabic.
انا اتعلم العربي	i'm learning arabic.
أنا أتعلم الموسيقي.	i'm learning music.
أنا أتقاضي أجره يوميه.	i'm paid by the day.
أنا أثق بك.	i trust you.
أنا أثق فيك.	i trust you.
أنا أجنبي.	i'm a foreigner.
أنا أحاول أن أساعدك.	i'm trying to help you.
أنا أحاول أن أكون سعيدا.	i'm trying to be happy.
أنا أحاول أن أنام.	i'm trying to sleep.
أنا أحاول جعل تعلم الأمازيغيه ممتعا.	i try to make learning berber fun.
أنا أحب أبي	i love my dad.
أنا أحب السباحه, ولكن لا أحب أن أسبح هنا.	i like swimming, but i don't like to swim here.
أنا أحب الشوكولاته.	i like chocolate.
أنا أحب الشوكولاته.	i love chocolate.
أنا أحب الفرنسيه	i like french.
أنا أحب الفرنسيه	i love french.
أنا أحب الكلاب حقا.	i really love dogs.
أنا أحب الكلاب, ولكن أختي تحب القطط.	i like dogs, but my sister likes cats.
أنا احب اللغات!	i like languages!
أنا أحب اللغه الإنجليزيه أكثر من الرياضيات.	i like english more than maths.
أنا أحب اللغه الأوكسيتانيه.	i like the occitan language.
أنا أحب اللغه النرويجيه.	i love the norwegian language!
أنا أحب اللغه اليابانيه كثيرا.	i like japanese very much.
أنا أحب الموسيقي, ولكن أنا أحب أيضا اللوحات.	i like music, but i also like paintings.
أنا أحب الموسيقي, ولكني أحب أيضا الرسومات.	i like music, but i also like paintings.
أنا أحب النرويجيه.	i love norwegian!
أنا أحب أن أدرس اللغات الأجنبيه.	i like to study foreign languages.
أنا أحب عملك.	i like your work.
أنا أحبك.	i love you.
أنا أحبك	i love you.
انا احب كلا منهما	i like them both.
أنا أحبها	i love her.
أنا أحب هارفارد.	i love harvard.
أنا احترمك.	i look up to you.
أنا أحسدها.	i envy her.
انا احفظ النشيد الوطني.	i am memorizing the national anthem.
أنا أخاف الكلاب.	i am afraid of dogs.
أنا أخافه جدا.	i'm so afraid of him.
أنا اختلف معك في الرأي.	i disagree with you.
أنا أخذت تلك الصوره قبل إسبوع.	i took that photo a week ago.
أنا أخذت تلك الصوره قبل إسبوع.	i took that picture a week ago.
أنا أخذتها إلي المستشفي.	i took her to the hospital.
أنا أخذته إلي المستشفي.	i took him to the hospital.
أنا آخذ قسطا من الراحه في المنزل.	i'm home, resting.
أنا اخشي الخفافيش	i'm afraid of bats.
أنا أخلع ملابسي.	i'm undressing.
أنا أدخر المال لشراء سياره.	i'm saving money for a car.
أنا أدرس اللغه الفارسيه.	i am studying persian.
أنا أدرس اللغه الفارسيه.	i am studying the persian language.
أنا أذاكر ثلاث ساعات يوميا.	i study for 3 hours every day.
أنا أذهب إلي جامعه البويره.	i go to bouira university
أنا أذهب إلي جامعه بجايه.	i go to bejaia university.
أنا أذهب إلي جامعه بومرداس.	i go to boumerdes university.
أنا أردت فقط التحقق من بريدي الإلكتروني.	i just wanted to check my email.
أنا أركض بسرعه.	i run quickly.
انا اري	i see.
أنا أري أنك فهمت كافكا بشكل صحيح, ربما أفضل من فهمه لنفسه.	i see that you properly understood kafka, maybe even better than he understood himself.
أنا أريد أن أعرف لماذا أنا هنا.	i want to know why i'm here.
أنا أريد بيره.	i want a beer.
أنا أريد فقط أن أدعك تعرفين أني أعتقد أنك أكثر إمرأه جمالا رأيتها علي الإطلاق.	i just want to let you know that i think you're the most beautiful woman that i've ever seen.
أنا أريد واحده، أيضا.	i want one, too.
أنا أستخدم Firefox	i use firefox.
أنا أستخدم برنامج فايرفوكس.	i use firefox.
أنا أستعمل الأمازيغيه كثيرا بقدر استطاعتي.	i use as much berber as i can.
أنا أستمع إلي الموسيقي.	i'm listening to music.
أنا أستيقظ مبكرا جدا.	i wake up very early.
أنا آسف.	i'm sorry.
أنا آسف	i'm sorry.
أنا آسف جدا	i am very sorry.
أنا آسف جدا!	i'm really sorry!
أنا آسف جدا	i'm very sorry.
أنا آسف لكن ذلك مستحيل.	i'm sorry, but it's impossible.
أنا آسف، ولكن لا تستطيع أن تتزوج بسوزان.	i'm sorry, but you can't marry susan.
أنا آسف، ولكن هذا لم يعد متاحا.	i'm sorry, but it's no longer available.
أنا آسف يا أمي .	i'm sorry mother.
أنا آسف يا محمد، لقد نسيت اسمك!	i'm sorry mohammed, i forgot your name!
انا اسكن في بيت ذو طابقين.	i live in a two story house.
أنا أسكن هنا	i live here.
أنا أسكن هنا منذ سنه 1990.	i have lived here since 1990.
أنا أسمع الموسيقي.	i hear the music.
انا اسمع ضجيج المروحه و صوت نزول قطرات الماء من الصنبور و همهمه الثلاجه و تكتكه الساعه و هبوب الهواء عند مرور السيارات بالقرب من المنزل .	i hear the buzz of a fan, the drip of the faucet, the hum of the fridge, the tick of the clock, the whoosh of cars passing by the house.
أنا أسمعك	i hear you.
أنا أشعر بالعطش.	i am thirsty.
انا اشعر بالملل.	i feel bored.
أنا أشك بروايته .	i doubt his story.
أنا أشك في أنه محام.	i doubt if he is a lawyer.
أنا أشم الغاز.	i smell gas.
أنا أصغر سنا و أقوي منك.	i'm younger and stronger than you.
أنا أصغر منك بثلاثه سنوات.	i'm three years younger than you.
أنا أطبخ, لكن لا أفعل هذا بمتعه كبيره.	i cook, but i don't do that with much pleasure.
أنا أطهو, ولكن لا أفعل هذا بمتعه كبيره.	i cook, but i don't do that with much pleasure.
انا اعتدت العيش في بوستن	i used to live in boston.
أنا اعتدت أن أفكر أنه من مسؤليتي أن أساعد توم.	i used to think it was my responsibility to help tom.
أنا أعتذر	i apologize.
انا اعتذر لهذا.	i apologize for this.
أنا أعتقد أن الحب غير موجود.	i think love does not exist.
أنا أعتقد أن ذلك بالضبط ما يتوقعه توم منك.	i think that's exactly what tom is expecting you do.
أنا أعتقد انه غاضب.	i think he is angry.
أنا أعتقد أني عن طريق الخطأ قلت أنه كان توم عندما كانت بالفعل ماري التي فعلت ذلك.	i think i mistakenly said it was tom when it was actually mary that did that.
أنا أعتقد حقا أن نحن النساء نملك حاسه إضافيه.	i really think that we, women, have an extra sense.
أنا أعتني بجيم.	i'm looking after jim.
أنا أعدك	i give my word.
أنا أعرف اسمك	i know your name.
انا اعرف انك لا تحبيني	i know you're not in love with me.
أنا أعرف أنك ما زلت تحبني.	i know that you still love me.
أنا أعرف سامي منذ زمن بعيد.	i have known sami forever.
أنا أعرف عنوانها.	i know her address.
أنا أعرفك جيدا و أنت لا تساوي شيئا.	i know you and you're nothing.
أنا أعرف ما الذي تبحث عنه.	i know what it is you're looking for.
أنا أعرف من هو والدك.	i know who your father is.
أنا أعرف هذا منه.	i know it from him.
أنا أعشق هذا المكان.	i adore that place.
أنا أعلم	i know.
أنا أعلم أن توم يحب ماري	i know tom loves mary.
أنا أعلم أنك غني	i know you are rich.
أنا أعلم أنك ليس معجبا بي.	i know you don't like me.
أنا أعلم أنها كانت خطيره	i know it was serious.
أنا أعلم أنه مشغول.	i know he is busy.
أنا أعلم أين أنت	i know where you are.
أنا أعلم ما أحب	i know what i like.
أنا أعلم ما أريد	i know what i want.
أنا أعمل في بلده بالقرب من روما.	i'm working in a town near rome.
أنا أعمل في قسم الصحه.	i work for the department of health.
انا اعمل في وكاله سياحيه .	i work in a tourist agency.
أنا أعيش الحياه.	i live life.
أنا أعيش عيشه شريفه.	i make an honest living.
أنا أعيش في اليابان	i live in japan.
أنا أعيش في بلد حيث تكلفه لتر واحد من البنزين أرخص من لتر من الماء.	i live in a country where a liter of petrol is cheaper than a liter of water.
أنا أعيش هنا منذ 5 سنوات	i've been living here for five years.
أنا أغسل ملابسي.	i wash my clothes.
أنا أغني.	i sing.
أنا أفضل السباحه علي التزلج.	i prefer swimming to skiing.
أنا أفضل المياه المعدنيه.	i prefer mineral water.
أنا أفضل منك.	i'm better than you.
أنا أفكر فيك طوال اليوم.	i think about you all day long.
أنا أفهم	i understand.
أنا أقترح أن يذهب إلي هناك في الحال.	i suggested that he go there at once.
أنا اقترحت لتوم إمكانيه العمل مع ماري.	i suggested to tom the possibility that he work with mary.
أنا أقرأ جريدتين يوميا.	i take two newspapers daily.
أنا أقرأ كتابا بالأمازيغيه.	i am reading a book in berber.
أنا أقرأ كتابك	i'm reading your book.
أنا أقرأ كتابه	i read his book.
أنا أقرأ هذا الكتاب	i'm reading this book.
أنا أقول الحقيقه.	i'm telling the truth.
أنا أقوم بكل ما بوسعي لأنسي أن ذلك قد حدث.	i'm trying my best to forget that ever happened.
أنا أكتب رساله.	i'm writing a letter.
أنا أكتب كتابا.	i'm writing a book.
أنا أكتب كل شئ؛ فأنا أشعر بالإرتباك من دون المفكره.	i write everything down; i feel uneasy without my notebook.
أنا أكره جيراني.	i hate my neighbors.
”أنا أكرهك.“ ”طلقني إذا. “	"i hate you. ""divorce me then."""
”أنا أكرهك.“ ”طلقني إذا.“	"i hate you. ""divorce me then."""
أنا آكل أناناسا.	i'm eating a pineapple.
أنا الشحص الوحيد أن لا يتكلم الفرنسيه.	i'm the only one in this group who doesn't speak french.
انا الشيطان.	i'm the devil.
أنا القاتل.	i'm the killer.
أنا ألماني.	i am german.
أنا المسؤول عن هذه العياده.	the person who is accountable for this clinic is me.
انا الوحيد المسؤال عن هذا	i'm the one responsible for that.
أنا أم.	i am a mother.
أنا أم.	i'm a mother.
أنا امرأه.	i am a woman.
أنا امرأه.	i'm a woman.
أنا امرأه.	i'm a woman.
أنا أمزح فقط.	i'm just kidding.
انا املك الآس قلوب.	i have the ace of hearts.
أنا أنتظر قرارك علي أحر من الجمر.	i eagerly await your decision.
أنا أنتظر مولودا.	i'm expecting a baby.
أنا أنتظر هنا منذ وقت طويل.	i have been waiting here for a long time.
أنا أنسي إسمه.	i forget his name.
أنا أنسي أين أضع قبعتي.	i forget where i put my hat.
أنا أنسي رقم هاتفك.	i forget your telephone number.
أنا أيسر.	i'm left-handed.
أنا أيضا.	me, too.
أنا أيضا أحب الموسيقي.	i love music, too.
انا ايضا اوصي بزياره مدينه واحده علي الاقل من المدن التي عاده لا تزار من قبل السياح .	i also recommend to visit at least one city which is usually not visited by tourists.
أنا أيضا سائح.	i'm a tourist, too!
أنا أيضا كنت في نيويورك.	i too have been to new york.
أنا أيضا كنت مدرسا.	i was a teacher, too.
أنا أيضا لا أستطيع فعل هذا.	i can't do it either.
أنا بالفعل ذهبت إلي محل الجزار هذا الصباح.	i already went to the butcher's shop this morning.
أنا ببساطه لا أعرف ماذا أقول...	i simply don't know what to say...
أنا بحاجه لأحصل علي قصه شعر.	i need to get a haircut.
أنا بحثت عن المفتاح.	i looked for the key.
أنا بحثت في كل مكان.	i've looked everywhere.
أنا بخير.	i am okay.
أنا بخير	i'm doing great.
أنا بخير.	i'm ok.
أنا بخير الآن.	i'm ok now.
أنا بخير، شكرا.	i'm very well, thank you.
أنا بخير. شكرا علي سؤالك.	i'm fine, thanks for asking.
أنا بخير, شكرا لك	i'm fine, thank you.
انا بخير ، وانت ؟	i am fine, and you?
أنا بخير يا أمي.	i'm fine, mom.
أنا بدين جدا.	i'm so fat.
أنا برازيلي.	i'm brazilian.
إن إبنك بطل.	your son is a hero.
إن أبي غاضب مني جدا.	my father is very angry with me.
أنا تحت الشجره.	i'm under the tree.
أنا تحدثت مع توم.	i've got to speak to tom.
أنا تحدثت معك.	i've got to speak to you.
أنا تحدثت معه.	i've got to speak to him.
أنا تحدثت معها.	i've got to speak to her.
أنا تسللت من خلفه.	i sneaked up behind him.
أنا تعب من مشاهده التلفاز	i'm tired of watching tv.
أنا تلميذ في جامعه.	i'm a student in a university.
أنا تلميذ، ولكن هو ليس بواحد.	i am a student, but he isn't.
إن أتيت إلي ريو، فبإمكاني أن أكون مرشدك.	if you come to rio, i could be your guide.
إن أتيت إلي مدينه ريو، فلا تنس أن تتصل بي كي أكون مرشدك.	if you come to rio, don't forget to call me to be your guide!
أنا ثري.	i'm rich.
أنا جاد.	i'm serious.
أنا جاد يا توم.	tom, i'm serious.
أنا جاد يا ماري.	mary, i'm serious.
أنا جاهز تقريبا.	i'm about ready.
أنا جاهز! هل يمكننا الذهاب؟	i'm ready! can we go?
أنا جائع.	i am hungry.
أنا جائع جدا.	i am terribly hungry.
أنا جائع جدا.	i'm really hungry.
أنا جائع جدا	i'm so hungry.
أنا جائع جدا.	i'm very hungry.
أنا جائع جدا	i was deeply moved by his speech.
انا جائع جدا لا استطيع انتظار وقت الافطار	i'm very hungry, so i can't wait until it's time to break the fast.
أنا جائع قليلا.	i'm a bit hungry.
أنا جائع، لذلك سأذهب لتناول بعض الطعام.	i'm hungry, so i'm going to get something to eat.
أنا جائع للغايه الآن.	i'm very hungry now.
أنا جبان لدرجه أنني نادرا ما أزور طبيب الأسنان.	i'm such a coward that i rarely visit the dentist.
أنا جديد هنا	i'm new here.
أنا حامل.	i'm pregnant.
أنا حامل في الشهر الرابع.	i am four months pregnant.
إن أحببت، فتعال!	you may come if you like.
أنا حتي لا أعرف ما ذلك.	i don't even know what that is.
أنا حتي لست متأكدا إن كان هذا مفتاحي.	i'm not even sure if this is my key.
أنا حتي لم أعرف أنه توم.	i didn't even recognize tom.
أنا حزينه جدا اليوم.	i am very sad today.
أنا حزين جدا اليوم.	i am very sad today.
أنا حزين لأن الجميع غادر و تركني لوحدي.	i'm sad because everyone went away and left me alone.
أنا حقا أتتطلع لحفله الليله.	i'm really looking forward to tonight's concert.
أنا حقا أثق بقدرته.	i really trust his ability.
أنا حقا أحتاج هذه الحفاظات الآن.	i really need those diapers now.
أنا حقا آسف إن تسببت لك بأيه مشاكل أو أضرار مع السيد صادق.	i'm really sorry if i caused you any problems or sorrows with mr. sadiq.
أنا حقا غير مهتم بطريقه أو بأخري.	i don't really care one way or another.
"أنا حقا لا أتحمل رائحه الشاي ""لكن سيساعدك هذا."""	"i really can't stand the smell of tea. ""it'll help."""
أنا حقا لا أحتاج لمساعده.	i really don't need help.
أنا حقا لا أستطيع مساعدتك.	i really can't help you.
أنا حقا لا أعلم ما أقوله في هذه الحال.	i really don't know what to say here.
أنا حقا لا أفهم لماذا تفكر بهذه الطريقه.	i really don't understand why you have this kind of thinking.
أنا حقا لست جائعا.	i'm really not hungry.
أنا حقا محرج.	i'm really embarrassed.
أنا خائف.	i am afraid.
أنا خائف جدا من الذهاب إلي هناك بمفردي.	i'm too scared to go there by myself.
أنا خائف جدا منه.	i'm so afraid of him.
أنا خائفه جدا من الذهاب إلي هناك بمفردي.	i'm too scared to go there by myself.
أنا خباز.	i'm a baker.
أنا خجل جدا مما فعلت.	i'm very ashamed of myself about what i've done.
أنا خجول قليلا.	i'm a bit shy.
انا خرجت مسرعا لاري ماذا حدث بالخارج	i rushed out to see what was going on.
انا دائما اثق في توم	i've always trusted tom.
أنا دائما فخور بعائلتي.	i'm always proud of my family.
أنا دائما ما أنسي أسماء الناس.	i'm constantly forgetting people's names.
أنا ذاهب.	i am going.
أنا ذاهب.	i'm going to go.
أنا ذاهب إلي البنك.	i'm going to the bank.
أنا ذاهب إلي ماينتس ثم إلي كولونيا العام القادم.	i'm going to mainz and then to cologne next year.
أنا ذاهبه.	i am going.
أنا ذاهب لأدرس	i am going to study.
أنا ذاهب للجري	i'm going to run.
أنا ذهبت إلي المستشفي.	i went to the hospital.
أنا ذهبت إلي النرويج.	i went to norway.
أنا ذهبت للتسوق.	i went shopping.
إن أرادت حربا، فها هي حربها.	if she wants a war, she's got a war.
أنا راض تماما ببيتي الجديد.	i am very pleased with my new house.
أنا راضيه تماما ببيتي الجديد.	i am very pleased with my new house.
أنا رجل.	i'm a man.
إن أردت النجاح في حياتك فاعمل بجد.	if you want to succeed in life, work hard.
إن أردت أن تقتلني، فافعل ذلك.	if you wanna kill me, then do it.
إن أردت، فسأستمع إليك.	if you like, i'd listen to you.
أنا زوجتك، أليس كذلك؟	i'm your wife, aren't i?
أنا زوجتك و أستحق أكثر من هذا.	i'm your wife and i deserve more than this.
أنا سائح.	i am a tourist.
إن استطعت، تعال معنا.	if you can, come with us.
أنا سعيد	i am happy.
أنا سعيد	i'm happy.
أنا سعيد بذلك	i'm happy about that.
أنا سعيد بذلك	i'm happy with that.
أنا سعيد بولادتي.	i'm happy that i was born.
أنا سعيد جدا.	i'm very happy.
أنا سعيد جدا لأني لم أكن هناك.	i'm very glad i wasn't there.
أنا سعيد جدا لرؤيتك.	i'm very happy to see you.
أنا سعيد لأنك استطعت المجيء.	i'm glad you were able to come.
أنا سعيد لأنك فعلت هذا من أجلي.	i'm happy that you did that for me.
أنا سعيد لأنه لا يوجد أحد هنا.	i am glad no one is around.
أنا سعيد لأنه لا يوجد أحد هنا.	i'm glad no one is around.
أنا سعيد لأني لست امرأه.	i'm glad i'm not a woman.
أنا سعيد لسماع أن ليلي آمن من الخطر.	i'm glad to hear that layla is out of danger.
أنا سعيد للغايه.	i'm very happy.
أنا سمين جدا.	i'm so fat.
أنا سوف أذهب إلي بوستن الإسبوع القادم, ولكن أنا حقا لا أتتطلع لهذا.	i'll be going to boston next week, but i'm not really looking forward to it.
أنا سوف أذهب لتفقد العمل	i am going to check the work.
أنا سوف ألعب تنس مع توم بعد الظهر, لكن هذا لا شيئ أنا حقا أتتطلع لهذا.	i'll be playing tennis with tom this afternoon, but it's not something i'm really looking forward to.
انا شارلي.	i am charlie.
أنا شاكر لمساعدتك لي.	i am grateful to you for your help.
أنا شخص صادق.	i'm an honest person.
أنا شديد الملاحظه.	i'm observant.
أنا شديده الفخر بأبي.	i'm very proud of my father.
أنا شربت النبيذ.	i drank the wine.
أنا شعبي جدا.	i'm very popular.
أنا شكور كثيرا لكوني مسلما اليوم.	i'm very grateful to be a muslim today.
أنا صديقه روبرتس.	i am a friend of robert's.
أنا صوت منشق في إسرائيل.	i am a dissenting voice in israel.
أنا صيني	i am chinese.
أنا طالب	i am a student.
أنا طالبه.	i'm a student.
أنا طالب جديد	i'm a new student.
أنا طالب في هذه المدرسه.	i am a student of this school.
انا طباخ.	i am a cook.
أنا طبيب.	i'm a doctor.
أنا طفل وحيد أبي و أمي.	i am an only child.
أنا طويل.	i am tall.
أنا طويل.	i'm tall.
أنا طويل جدا.	i'm pretty tall.
أنا عاشق كبير لجيتر ياني.	i'm a big fan of getter jaani.
أنا عاطل عن العمل.	i do not work.
أنا عبقري مستقر جدا.	i'm a very stable genius.
إن اعتنيت بالأشياء الصغيره، ستعتني الأشياء الكبيره بأنفسها.	if you take care of the small things, the big things will take care of themselves.
أنا عضو في نادي الدراما.	i belong to the drama club.
أنا عطش.	i'm thirsty.
أنا عطشان.	i'm thirsty.
أنا عطشان جدا.	i'm very thirsty.
أنا علي ثقه من أن هذا الكتاب سيكون ذا فائده عظيمه لك.	i am sure this book will be of great use to you.
أنا عملت في هذا المصنع.	i worked in this factory.
أنا غادرت شانكاهاي العام الماضي ولم أعد بعد.	i left shanghai last year and have not yet been back.
أنا غاضب!	i'm outraged!
إن أغلقوا هذه العياده فجميعنا سيفقد وظيفته.	if they close down this clinic, we will all lose our jobs.
أنا غير متفاجئه.	i'm not surprised.
أنا فاضل صادق في خدمتك.	i'm fadil sadiq. at your service.
أنا فخور بكونه صديقي.	i'm proud to have him as a friend.
أنا فخور بنفسي. نعم، أنا فخور.	i'm proud of myself. yes, i'm proud.
أنا فخوره بك.	i'm proud of you.
أنا فخوره جدا بأبي.	i'm very proud of my father.
أنا فخوره جدا بك.	i'm so proud of you.
أنا فخور جدا بك.	i'm so proud of you.
أنا فزت!	i won!
أنا فقط أحاول المساعده.	i'm only trying to help.
انا فقط سائح.	i'm just a tourist.
انا فقط لا استطيع عمل الشيء الذي يحفز توم .	i just can't work out what makes tom tick.
أنا فقير.	i'm poor.
أنا فوق ثمانيه عشر عاما.	i'm over eighteen.
أنا في 19	i'm 19.
أنا في أستراليا الآن.	i'm in australia right now.
أنا في البيت	i am at home.
أنا في البيت	i'm at home.
انا في السنه الأولي من التعليم الثانوي.	i am in the first year of high school.
أنا في السياره	i'm in my car.
أنا في السياره	i'm in the car.
أنا في الشهر الرابع من حملي.	i am four months pregnant.
أنا في الصف الثامن.	i'm an eighth grader.
أنا في العمل الأن, لذلك سوف أتصل بك لاحقا.	i'm at work now, so i'll call you later.
انا في القاطره الخلفيه .	i'm in the rear car.
أنا في المغسل.	i'm in the bath.
أنا في المنزل.	i am in the house.
أنا في انتظار ابنك.	i'm expecting your child.
أنا في بيت جديد.	i am in a new house.
أنا في طريقي إلی المنزل	i'm on my way home.
أنا في عالم مثالي.	i'm in a perfect world.
أنا في غايه الأسف!	i'm really sorry!
أنا في غايه الجوع.	i'm really hungry.
أنا في غايه الجوع.	i'm starving!
أنا في لقاء البرامج الحره لأقدم مشروع تتويبا.	i'm at the libre software meeting to present the tatoeba project.
أنا في نادي الموسيقي.	i am in the music club.
أنا في ورطه.	i'm in trouble.
أنا قادم إليك.	i'm coming for you!
أنا قادم اليوم	i am coming today.
أنا قادم من أجلك.	i'm coming for you!
أنا قد المحاوله مره أخري.	i may give it another try.
أنا قرأت الرساله.	i read a letter.
أنا قطه، وليس عندي اسم بعد.	i am a cat. i don't have a name yet.
أنا قلت شيئا.	i said something.
أنا قلق بشأن سامي.	sami worries me.
أنا كبير بما فيه الكفايه.	i'm old enough.
أنا كبير بما يكفي للتصويت.	i'm old enough to vote.
أنا كذلك	me too.
إن أكرمكم عند الله أتقاكم.	surely the most honorable of you with allah is the most righteous of you.
أنا كنت علي وشك الخروج عندما بدأت تمطر بشده.	i was just about to go out when it began to rain hard.
أنا لا أبالي إطلاقا بما تقولونه.	i don't give a fuck about what you say!
انا لا اتحدث الانجليزيه او الفرنسيه	i don't speak french or english.
أنا لا أحاول سلب حقوقك.	i'm not trying to deprive you of your rights.
أنا لا أحب السباحه في المياه المالحه	i don't like swimming in salt water.
أنا لا أحب السباحه في برك السباحه.	i don't like swimming in pools.
أنا لا أحبك	i don't love you.
أنا لا أحب هذه الفكره كثيرا.	i don't like that idea much.
أنا لا أحسن الفرنسيه.	i don't speak french well enough!
أنا لا آخذ المشاكل معي للمنزل بل أتحدث بصراحه، فانصرف من هنا.	i do not take shit home, i tell straight away. fuck off!
أنا لا أخرق القانون.	i'm not breaking the law.
أنا لا أريد أن أتحدث إليك ،لأنك كسرت قلبي.	i don't want to talk to you, because you broke my heart.
أنا لا أريدك أن تفكر في ذلك بعد الآن.	i don't want you to think about it anymore.
أنا لا أستحق أن أعامل ككلب.	i don't deserve to be treated like a dog.
أنا لا أستطيع أن أتذكر القصائد الغنائيه.	i can't remember the lyrics.
أنا لا أستطيع أن أضج. ينام الطفل.	i cannot make noise. the baby is sleeping.
أنا لا أستطيع أن أفهم ما هو الخطأ!	i don't understand what's wrong with it!
أنا لا أستطيع أن أقرأ هذا.	i can't read this.
أنا لا أستطيع شكرك بما يكفي علي كل لطفك.	i cannot thank you enough for all your kindness.
أنا لا أسكن هنا	i don't live here.
أنا لا أشرب الشاي.	i don't drink tea.
أنا لا أشرب الكحول.	i don't drink alcohol.
أنا لا أشعر بالراحه مؤخرا.	i have not felt well recently.
أنا لا أصدقك, أنت تكذب دائما.	i don't believe you. you're always lying.
أنا لا أصدقك, أنت دائما تكذبين.	i don't believe you. you're always lying.
أنا لا أظن أنها تشبه أمها	i don't think she takes after her mother.
أنا لا أعاني من الجنون، أنا أستمتع به.	i don't suffer from insanity - i enjoy it!
أنا لا أعرف إذا كان لدي الوقت.	i don't know if i have the time.
أنا لا أعرفك	i don't know you.
أنا لا أعرف مفتاح النجاح، لكن مفتاح الفشل هو محاوله ارضاء الجميع .	i don't know the key to success, but the key to failure is trying to please everybody.
أنا لا أعرفه	i don't know him.
أنا لا أفكر أن ذلك مهم.	i don't think it's important.
أنا لا أفهم	i don't understand.
أنا لا أفهمه	i don't understand it.
أنا لا ألومه.	i don't blame him.
أنا لا ألومها.	i don't blame her.
أنا لا ألومهم.	i don't blame them.
أنا لا أنوي رؤيته.	i have no intention of seeing him.
أنا لا أؤمن بالحكايات الخرافيه.	i don't believe in fairy tales.
إن الازدهار في بلد يعتمد علي مواطنيها.	the prosperity of a country depends upon its citizens.
أنا لا شئ بدونك.	i'm nothing without you.
أنا لاعب في فريق هوكي.	i'm on a hockey team.
إن الأفاعي صماء إلي حد ما، و لكن يمكنها أن تسمع أصواتا خفيفه جدا، و هي حساسه بالنسبه إلي الرائحه	snakes are -to a certain extent- deaf, but can still hear very low sounds and are very sensitive to smells.
إن التحدث بالإنجليزيه أمر ممتع.	it's fun to speak in english.
إن التطور ليس رأيا و إنما هو واقع.	evolution is not an opinion, it's a fact.
إن الجزائر تتغير.	algeria is changing.
إن الجو قارس.	it's very cold.
إن الحديقه اليابانيه هذه جميله للغايه.	this japanese garden is beautiful.
إن الحوادث تحدث.	accidents do happen.
إن الحياه في الضفيه الغربيه و غزه ليست بالممتعه أبدا بالنسبه للفلسطينيين.	life in the west bank and gaza isn't fun at all for the palestinians.
أنا لدي جارا غريبا.	i have a weird neighbor.
أنا لدي جار أفريقي-أمريكي.	i have an african-american neighbor.
أنا لدي جاره أفريقيه-أمريكيه.	i have an african-american neighbor.
أنا لدي جاره إيطاليه.	i have an italian neighbor.
أنا لدي جاره غريبه.	i have a weird neighbor.
أنا لدي جاره فرنسيه.	i have a french neighbor.
أنا لدي جاره ليبراليه.	i have a liberal neighbor.
أنا لدي جاره مصريه.	i have an egyptian neighbor.
أنا لدي جار غريب.	i have a weird neighbor.
أنا لدي جار فرنسي.	i have a french neighbor.
أنا لدي جار ليبرالي.	i have a liberal neighbor.
أنا لدي جار مثلي الجنس.	i have a gay neighbor.
أنا لدي جار مصري.	i have an egyptian neighbor.
أنا لدي جار يهودي.	i have a jewish neighbor.
أنا لدي صديق.	i have a friend.
أنا لدي صديقه في إنجلترا.	i have a friend in england.
أنا لدي صديق في إنجلترا.	i have a friend in england.
أنا لدي عينان.	i have two eyes.
أنا لديها شعر بني كستنائي, ولكن ماجدالينا لديها شعر أشقر.	anna has chestnut brown hair, but magdalena has blonde hair.
إن الذين لا يعرفون شيئا من اللغات الأجنبيه، لا يعرفون شيئا من لغتهم.	those who know nothing of foreign languages know nothing of their own.
أنا لست المشكله.	i'm not the problem.
أنا لست جائعا الآن.	i'm not hungry right now.
أنا لست جمله. ينبغي أن أحذف من تتويبا.	i'm not a sentence. i should be deleted from tatoeba.
أنا لست خائف.	i am not afraid.
أنا لست خائفا.	i'm not scared.
أنا لست خائفا! هذه متعه!	i'm not scared! this is fun!
أنا لست خائفه	i'm not scared.
أنا لست دفاعيا.	i'm not being defensive.
أنا لست ذاهبا.	i'm not going.
أنا لست ذاهبه.	i'm not going.
انا لست سائحا.	i'm not a tourist.
أنا لست سعيدا به	i'm not happy with it.
أنا لست سعيده.	i'm not happy.
أنا لست صدبقتك.	i'm not your girlfriend.
أنا لست صديقتها.	i'm not her friend.
أنا لست صديقك.	i'm not your boyfriend.
أنا لست طالبا.	i'm not a student.
أنا لست عاطشا.	i'm not thirsty.
أنا لست عاطشه.	i'm not thirsty.
أنا لست عبدك.	i'm not your slave.
أنا لست في المدرسه.	i'm not in the school.
أنا لست في خطر، أنا الخطر بعينه.	i am not in danger, i am the danger.
أنا لست في وضع يسمح بأن أقبلها.	i'm not in a position to accept it.
أنا لست قلقا.	i'm not worried.
أنا لست قلقا كثيرا بشأن سيرتي الذاتيه.	i don't worry so much about my resume.
أنا لست لطيفا كما تظنني.	i'm not as nice as you think i am.
أنا لست متأكدا أنني سأكون قادرا علي القدوم معك	i am not sure whether i will be able to come with you.
أنا لست متشائما.	i am not a pessimist.
أنا لست متعبا علي الإطلاق.	i'm not tired at all.
أنا لست متميزا.	i'm not special.
أنا لست متميزه.	i'm not special.
أنا لست مثلي الجنس	i'm not gay.
